regime,method,shot,negative_shot,support_protocol,seed,temperature,threshold,metric,value
single_label,random_residual,1,20,abundant_controls,1,1.0,nan,auprc,0.37295620640118915
single_label,random_residual,1,20,abundant_controls,1,1.0,nan,macro_f1,0.36844950914382935
single_label,random_residual,1,20,abundant_controls,1,1.0,nan,accuracy,0.3686666786670685
single_label,random_residual,1,20,abundant_controls,1,1.0,nan,nll,1.0955625772476196
single_label,random_residual,1,20,abundant_controls,1,1.0,nan,calibration_error,0.029212208464741707
single_label,random_residual,1,20,abundant_controls,2,1.0,nan,auroc,0.550874650478363
single_label,random_residual,1,20,abundant_controls,2,1.0,nan,auprc,0.39394327998161316
single_label,random_residual,1,20,abundant_controls,2,1.0,nan,macro_f1,0.3770270347595215
single_label,random_residual,1,20,abundant_controls,2,1.0,nan,accuracy,0.3766666650772095
single_label,random_residual,1,20,abundant_controls,2,1.0,nan,nll,1.0927644968032837
single_label,random_residual,1,20,abundant_controls,2,1.0,nan,calibration_error,0.029291529208421707
single_label,random_residual,1,20,abundant_controls,3,1.0,nan,auroc,0.538725326458613
single_label,random_residual,1,20,abundant_controls,3,1.0,nan,auprc,0.38377970457077026
single_label,random_residual,1,20,abundant_controls,3,1.0,nan,macro_f1,0.37385942538579303
single_label,random_residual,1,20,abundant_controls,3,1.0,nan,accuracy,0.37466666102409363
single_label,random_residual,1,20,abundant_controls,3,1.0,nan,nll,1.0980666875839233
single_label,random_residual,1,20,abundant_controls,3,1.0,nan,calibration_error,0.0229782797396183
single_label,random_residual,1,20,abundant_controls,4,1.0,nan,auroc,0.5338303248087565
single_label,random_residual,1,20,abundant_controls,4,1.0,nan,auprc,0.36633865038553876
single_label,random_residual,1,20,abundant_controls,4,1.0,nan,macro_f1,0.36511754989624023
single_label,random_residual,1,20,abundant_controls,4,1.0,nan,accuracy,0.3659999966621399
single_label,random_residual,1,20,abundant_controls,4,1.0,nan,nll,1.101037859916687
single_label,random_residual,1,20,abundant_controls,4,1.0,nan,calibration_error,0.03643874451518059
single_label,metadata_matched_residual,1,20,abundant_controls,0,0.5,nan,auroc,0.5621046622594198
single_label,metadata_matched_residual,1,20,abundant_controls,0,0.5,nan,auprc,0.3887904683748881
single_label,metadata_matched_residual,1,20,abundant_controls,0,0.5,nan,macro_f1,0.38303818305333454
single_label,metadata_matched_residual,1,20,abundant_controls,0,0.5,nan,accuracy,0.38333332538604736
single_label,metadata_matched_residual,1,20,abundant_controls,0,0.5,nan,nll,1.1134182214736938
single_label,metadata_matched_residual,1,20,abundant_controls,0,0.5,nan,calibration_error,0.08258907496929169
single_label,metadata_matched_residual,1,20,abundant_controls,1,0.5,nan,auroc,0.5637819965680441
single_label,metadata_matched_residual,1,20,abundant_controls,1,0.5,nan,auprc,0.38736968239148456
single_label,metadata_matched_residual,1,20,abundant_controls,1,0.5,nan,macro_f1,0.38354499141375226
single_label,metadata_matched_residual,1,20,abundant_controls,1,0.5,nan,accuracy,0.3840000033378601
