regime,method,shot,negative_shot,support_protocol,seed,temperature,threshold,class,metric,value
single_label,random_residual,1,1,balanced,0,0.5,nan,Fracture,calibration_error,0.024099763482809067
single_label,random_residual,1,1,balanced,0,0.5,nan,Cardiomegaly,auroc,0.5928679704666138
single_label,random_residual,1,1,balanced,0,0.5,nan,Cardiomegaly,auprc,0.3980986177921295
single_label,random_residual,1,1,balanced,0,0.5,nan,Cardiomegaly,f1,0.40582725405693054
single_label,random_residual,1,1,balanced,0,0.5,nan,Cardiomegaly,accuracy,0.6193333268165588
single_label,random_residual,1,1,balanced,0,0.5,nan,Cardiomegaly,nll,0.6269203424453735
single_label,random_residual,1,1,balanced,0,0.5,nan,Cardiomegaly,calibration_error,0.029014049097895622
single_label,random_residual,1,1,balanced,1,0.5,nan,No Finding,auroc,0.5058280229568481
single_label,random_residual,1,1,balanced,1,0.5,nan,No Finding,auprc,0.3479238748550415
single_label,random_residual,1,1,balanced,1,0.5,nan,No Finding,f1,0.34510594606399536
single_label,random_residual,1,1,balanced,1,0.5,nan,No Finding,accuracy,0.5673333406448364
single_label,random_residual,1,1,balanced,1,0.5,nan,No Finding,nll,0.6562174558639526
single_label,random_residual,1,1,balanced,1,0.5,nan,No Finding,calibration_error,0.06977581232786179
single_label,random_residual,1,1,balanced,1,0.5,nan,Fracture,auroc,0.5917779803276062
single_label,random_residual,1,1,balanced,1,0.5,nan,Fracture,auprc,0.40875181555747986
single_label,random_residual,1,1,balanced,1,0.5,nan,Fracture,f1,0.41626331210136414
single_label,random_residual,1,1,balanced,1,0.5,nan,Fracture,accuracy,0.5979999899864197
single_label,random_residual,1,1,balanced,1,0.5,nan,Fracture,nll,0.6267816424369812
single_label,random_residual,1,1,balanced,1,0.5,nan,Fracture,calibration_error,0.025783486664295197
single_label,random_residual,1,1,balanced,1,0.5,nan,Cardiomegaly,auroc,0.5663999915122986
single_label,random_residual,1,1,balanced,1,0.5,nan,Cardiomegaly,auprc,0.38052430748939514
single_label,random_residual,1,1,balanced,1,0.5,nan,Cardiomegaly,f1,0.3709016442298889
single_label,random_residual,1,1,balanced,1,0.5,nan,Cardiomegaly,accuracy,0.590666651725769
single_label,random_residual,1,1,balanced,1,0.5,nan,Cardiomegaly,nll,0.6348798274993896
single_label,random_residual,1,1,balanced,1,0.5,nan,Cardiomegaly,calibration_error,0.03869372606277466
single_label,random_residual,1,1,balanced,2,0.5,nan,No Finding,auroc,0.5195040106773376
single_label,random_residual,1,1,balanced,2,0.5,nan,No Finding,auprc,0.35289499163627625
single_label,random_residual,1,1,balanced,2,0.5,nan,No Finding,f1,0.35907724499702454
single_label,random_residual,1,1,balanced,2,0.5,nan,No Finding,accuracy,0.5740000009536743
single_label,random_residual,1,1,balanced,2,0.5,nan,No Finding,nll,0.6535666584968567
single_label,random_residual,1,1,balanced,2,0.5,nan,No Finding,calibration_error,0.0681825503706932
single_label,random_residual,1,1,balanced,2,0.5,nan,Fracture,auroc,0.5815939903259277
single_label,random_residual,1,1,balanced,2,0.5,nan,Fracture,auprc,0.3881073594093323
single_label,random_residual,1,1,balanced,2,0.5,nan,Fracture,f1,0.42692306637763977
single_label,random_residual,1,1,balanced,2,0.5,nan,Fracture,accuracy,0.6026666760444641
single_label,random_residual,1,1,balanced,2,0.5,nan,Fracture,nll,0.6305848956108093
single_label,random_residual,1,1,balanced,2,0.5,nan,Fracture,calibration_error,0.02903299406170845
single_label,random_residual,1,1,balanced,2,0.5,nan,Cardiomegaly,auroc,0.6047880053520203
