regime,method,shot,negative_shot,support_protocol,temperature,threshold,class,metric,mean,std
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,accuracy,0.6269333362579346,0.0038470851251502076
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,nll,0.6181309819221497,0.007003766603361317
single_label,full_embedding_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,calibration_error,0.027457036077976227,0.006650919630337119
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,auroc,0.5074975967407227,0.008058215015010209
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,auprc,0.3455870747566223,0.013327850844399382
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,f1,0.3369314968585968,0.013710093748393345
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,accuracy,0.562666654586792,0.008069156642346762
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,nll,0.6727412462234497,0.003897725018951449
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,No Finding,calibration_error,0.09603779315948487,0.005812057813814381
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,auroc,0.6175298094749451,0.01688893701163406
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,auprc,0.41483266949653624,0.019810078281466068
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,f1,0.42012630105018617,0.022396419597353324
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,accuracy,0.6026666641235352,0.013824285363276453
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,nll,0.6228689551353455,0.007697681211697831
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,Fracture,calibration_error,0.038876398280262944,0.011447028464288234
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,auroc,0.6270968079566955,0.013227569127286938
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,auprc,0.44198129773139955,0.02366237212935409
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,f1,0.43906956911087036,0.015814636298787037
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,accuracy,0.6328000068664551,0.003379669196667732
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,nll,0.616969907283783,0.007518231760956054
single_label,anatomy_matched_residual,1,20,abundant_controls,0.5,nan,Cardiomegaly,calibration_error,0.029656510800123215,0.011741003210087907
single_label,shuffled_anatomy_match,1,20,abundant_controls,0.5,nan,No Finding,auroc,0.5100651979446411,0.00613913962797011
single_label,shuffled_anatomy_match,1,20,abundant_controls,0.5,nan,No Finding,auprc,0.348473584651947,0.013721942586495029
