pair,target,confounder,method,shot,metric,mean,std
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,ece,0.06198972649872303,0.032484727639645855
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,false_positive_c0d1,0.5260450005531311,0.010463836232720366
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,sms_raw_logit,0.7197434663772583,0.08936782987180984
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,sms_normalized_logit,0.9591982364654541,0.10788340074177055
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,support_swap_flip_rate,0.011999999731779098,0.026832815130237306
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,support_swap_error_gap,0.0039999961853027345,0.00894426338007676
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,worst_support_panel_error,0.5019999980926514,0.00447213169003838
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,d0_auroc,0.4402400016784668,0.039591515396419426
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,d0_auprc,0.48579692244529726,0.045743939062800616
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,d1_auroc,0.48679999709129335,0.07001314462243635
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,d1_auprc,0.5234673500061036,0.03940252218656289
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,worst_nuisance_auroc,0.4202399969100952,0.02954806390787369
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,5,worst_nuisance_auprc,0.47042976021766664,0.032922702788265056
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,auroc,0.45997999906539916,0.03226124126960909
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,auprc,0.48781412839889526,0.024802156951630395
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,f1,0.6666666865348816,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,brier,0.25264413356781007,0.0020522632769282368
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,ece,0.04824283719062805,0.0294793902943831
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,false_positive_c0d1,0.5237861394882202,0.008422713696041754
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,sms_raw_logit,0.666043758392334,0.07092748369598316
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,sms_normalized_logit,0.8927311420440673,0.10296290798962597
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,support_swap_flip_rate,0.0,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,support_swap_error_gap,0.0,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,worst_support_panel_error,0.5,0.0
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,d0_auroc,0.4230400025844574,0.0451660017227814
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,d0_auprc,0.47618589997291566,0.05141851114748811
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,d1_auroc,0.4963200032711029,0.05700343319908716
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,d1_auprc,0.5159049034118652,0.02311431768969785
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,worst_nuisance_auroc,0.4156000018119812,0.04163459741146102
Pneumothorax__Support Devices,Pneumothorax,Support Devices,learned_uniform,10,worst_nuisance_auprc,0.46517152190208433,0.04039519124834162
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,auroc,0.7548799991607666,0.04901170333752158
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,auprc,0.7484558820724487,0.046310723659939934
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,f1,0.7178749322891236,0.047680238016293425
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,brier,0.21226142942905427,0.019795905255854295
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,ece,0.12248328924179078,0.016557967961246086
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,false_positive_c0d1,0.570155680179596,0.04505316073953621
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,sms_raw_logit,0.6175177931785584,0.044218863321261626
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,sms_normalized_logit,0.6865030527114868,0.09015052982361968
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,support_swap_flip_rate,0.25799999833106996,0.0636985130193772
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,support_swap_error_gap,0.031999999284744264,0.02514954498924569
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,worst_support_panel_error,0.36299999952316286,0.048166381260358514
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,d0_auroc,0.8173599958419799,0.044687904776412525
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,d0_auprc,0.81653391122818,0.033566406059595696
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,d1_auroc,0.7042400002479553,0.06230543646714108
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,d1_auprc,0.7025506854057312,0.06792416905970954
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,worst_nuisance_auroc,0.7042400002479553,0.06230543646714108
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,1,worst_nuisance_auprc,0.7025506854057312,0.06792416905970954
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,3,auroc,0.7874600052833557,0.03194570317145987
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,3,auprc,0.7716954350471497,0.037414698486814925
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,3,f1,0.7156604886054992,0.04481790688657433
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,3,brier,0.2021305412054062,0.015695387150850313
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,3,ece,0.12266335487365723,0.01598166888214998
Edema__Cardiomegaly,Edema,Cardiomegaly,learned_uniform,3,false_positive_c0d1,0.5871252536773681,0.04801866037576506
