method,seed,training_seed,step,train_loss,train_classification,train_invariance,train_budget_excess,validation_total,validation_classification,validation_invariance,validation_budget_excess,validation_uniform_reference,validation_worst_nuisance_auroc,validation_max_sms_budget_ratio,validation_sms_budget_satisfied
anchored_iera,1,2027,925,1.0103007912635804,0.5813172471523285,1.5480627489835024,0.42898354910314085,1.3292884826660156,0.6163654625415802,2.553413987159729,0.712922990322113,2.6292728185653687,0.6639999747276306,1.390837490399302,0.0
anchored_iera,1,2027,950,0.8839172804355622,0.5254059660434723,1.2975814683735372,0.35851131975650785,1.32868492603302,0.6163296103477478,2.552846312522888,0.7123553156852722,2.6292728185653687,0.6639999747276306,1.3904373933679892,0.0
anchored_iera,1,2027,975,0.9890678143501281,0.5188331139087677,1.7342844708263874,0.4702346932888031,1.3282138109207153,0.6162997186183929,2.5524051189422607,0.7119141221046448,2.6292728185653687,0.6639999747276306,1.3901498097293281,0.0
anchored_iera,1,2027,1000,0.8790144312381745,0.5700316953659058,1.096541312467307,0.30898273913189767,1.3278031945228577,0.6162737607955933,2.5520204305648804,0.7115294337272644,2.6292728185653687,0.6639999747276306,1.3899064013093891,0.0
learned_uniform,2,2028,0,,,,,1.0239489078521729,1.0239489078521729,0.0,0.0,0.0,0.36000001430511475,0.0,1.0
learned_uniform,2,2028,25,0.7529457283020019,0.7529457283020019,0.0,0.0,0.742743581533432,0.742743581533432,0.0,0.0,0.0,0.5935999751091003,0.0,1.0
learned_uniform,2,2028,50,0.7536094200611114,0.7536094200611114,0.0,0.0,0.7203491032123566,0.7203491032123566,0.0,0.0,0.0,0.5600000023841858,0.0,1.0
learned_uniform,2,2028,75,0.6773579502105713,0.6773579502105713,0.0,0.0,0.699839860200882,0.699839860200882,0.0,0.0,0.0,0.5407999753952026,0.0,1.0
learned_uniform,2,2028,100,0.6432576334476471,0.6432576334476471,0.0,0.0,0.678152471780777,0.678152471780777,0.0,0.0,0.0,0.6255999803543091,0.0,1.0
learned_uniform,2,2028,125,0.602753427028656,0.602753427028656,0.0,0.0,0.6631532311439514,0.6631532311439514,0.0,0.0,0.0,0.656000018119812,0.0,1.0
learned_uniform,2,2028,150,0.6471786630153656,0.6471786630153656,0.0,0.0,0.633968859910965,0.633968859910965,0.0,0.0,0.0,0.6448000073432922,0.0,1.0
learned_uniform,2,2028,175,0.579379369020462,0.579379369020462,0.0,0.0,0.6526506245136261,0.6526506245136261,0.0,0.0,0.0,0.6064000129699707,0.0,1.0
learned_uniform,2,2028,200,0.6310665571689605,0.6310665571689605,0.0,0.0,0.731745183467865,0.731745183467865,0.0,0.0,0.0,0.5631999969482422,0.0,1.0
learned_uniform,2,2028,225,0.5532448637485504,0.5532448637485504,0.0,0.0,0.6355363726615906,0.6355363726615906,0.0,0.0,0.0,0.6304000020027161,0.0,1.0
learned_uniform,2,2028,250,0.5721232545375824,0.5721232545375824,0.0,0.0,0.6575503051280975,0.6575503051280975,0.0,0.0,0.0,0.5824000239372253,0.0,1.0
learned_uniform,2,2028,275,0.5841042184829712,0.5841042184829712,0.0,0.0,0.631412148475647,0.631412148475647,0.0,0.0,0.0,0.6399999856948853,0.0,1.0
learned_uniform,2,2028,300,0.5878500509262085,0.5878500509262085,0.0,0.0,0.6600960791110992,0.6600960791110992,0.0,0.0,0.0,0.656000018119812,0.0,1.0
learned_uniform,2,2028,325,0.5184148895740509,0.5184148895740509,0.0,0.0,0.6676571369171143,0.6676571369171143,0.0,0.0,0.0,0.6287999749183655,0.0,1.0
