pair,target,confounder,method,rho,shot,auroc,sms_fixed_reference,auroc_change,sms_reduction,pareto
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.5,3,0.539442491531372,0.36168195605278014,0.010587489604949929,0.6751060116384553,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.5,5,0.5493149995803833,0.37431554198265077,0.007569998502731323,0.6605790773115584,True
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.5,10,0.565957510471344,0.3715425252914429,0.007527506351470925,0.6590680957508015,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.5,1,0.636614990234375,0.33400821685791016,0.020889985561370783,0.6753922612099056,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.5,3,0.6661050081253052,0.3292402446269989,0.03343000411987307,0.6799685091037573,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.5,5,0.6989724993705749,0.3270808577537537,0.031587505340576194,0.6588557539440333,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.5,10,0.7286599993705749,0.31598281264305117,0.03273499011993408,0.6516014690420147,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.3,1,0.5217999994754792,0.245542311668396,0.008702492713928311,0.7741792661837146,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.3,3,0.5411550164222717,0.257106739282608,0.01230001449584961,0.7690445084079105,True
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.3,5,0.5481449961662292,0.2661016970872879,0.006399995088577248,0.7587049603232512,True
Pneumothorax__Support Devices,Pneumothorax,Support Devices,adapter_only,0.3,10,0.5644924998283386,0.26588562726974485,0.0060624957084655096,0.7560201402343902,False
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.3,1,0.6371799945831299,0.2313336491584778,0.021454989910125732,0.7751771095160227,True
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.3,3,0.6684450030326843,0.2329289585351944,0.0357699990272522,0.7735859965801567,True
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.3,5,0.7048725008964538,0.23306199610233308,0.03748750686645508,0.7569171137355665,True
Edema__Cardiomegaly,Edema,Cardiomegaly,adapter_only,0.3,10,0.7347224950790405,0.22678140699863433,0.0387974858283997,0.7499537763271862,True
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.9,1,0.5164049863815308,0.6775013685226441,0.003307479619979903,0.376914491185785,False
Pneumothorax__Support Devices,Pneumothorax,Support Devices,full_iera,0.9,3,0.5329549908638,0.7838795423507691,0.004099988937377952,0.29585165461724416,False
