partition,cache,model,source_grid,retained_grid,shot,metric,n_seeds,binary_minus_positive_mean,ci95_low,ci95_high
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,1,auprc,10,0.023832869529724122,0.009946220960033591,0.03771951809941465
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,1,d0_auroc,10,0.03603999018669128,0.017990312982455004,0.05408966739092756
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,1,d1_auroc,10,0.022714999318122864,0.002312832289519763,0.043117166346725966
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,1,worst_nuisance_auroc,10,0.03070000112056732,0.010195222782899742,0.0512047794582349
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,3,auroc,10,0.0520550012588501,0.03084167710290187,0.07326832541479833
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,3,auprc,10,0.04144258797168732,0.025832543657542215,0.05705263228583242
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,3,d0_auroc,10,0.057969996333122255,0.03287797797003304,0.08306201469621147
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,3,d1_auroc,10,0.04595000445842743,0.020544909719638675,0.07135509919721619
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,3,worst_nuisance_auroc,10,0.05594000220298767,0.028130816918827354,0.08374918748714799
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,5,auroc,10,0.05620625615119934,0.03173200241402215,0.08068050988837652
validate,biomedclip,hf-hub:microsoft/BiomedCLIP-PubMedBERT_256-vit_base_patch16_224,14,4,5,auprc,10,0.04128368496894837,0.016073415417341735,0.066493954520555
