partition,pair,target,confounder,method,candidate,witness_fraction,gamma,shot,metric,n_seeds,mean,std,ci95_low,ci95_high
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,f1,5,0.6721712708473205,0.008386677431209251,0.664820023957434,0.6795225177372071
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,brier,5,0.24755806028842925,0.0013900582536316998,0.24633962050728964,0.24877650006956886
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,ece,5,0.03495471277274191,0.02292465938942659,0.014860362844473531,0.05504906270101029
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,sms_raw_logit,5,0.04083251953125,0.0016604759805998774,0.03937704816154024,0.04228799090095976
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,sms_fixed_reference,5,2.219060516357422,0.0834290791946475,2.1459317041446795,2.2921893285701644
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,ranking_disagreement,5,0.4949083745479584,0.01944619145217268,0.47786303619966924,0.5119537128962475
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,support_swap_flip_rate,5,0.07900000289082527,0.11195144590701236,-0.01912976605434305,0.1771297718359936
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,d0_auroc,5,0.5589600086212159,0.02355702893332142,0.5383113623484241,0.5796086548940076
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,d1_auroc,5,0.5557899951934815,0.01315278478477027,0.5442610710115904,0.5673189193753726
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,worst_nuisance_auroc,5,0.5508700132369995,0.015243915636982673,0.5375081320468339,0.564231894427165
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,border_max_fraction,5,0.10399999767541886,0.017464246406484755,0.08869191075626198,0.11930808459457573
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,auroc,5,0.5245875000953675,0.014418925004290406,0.511948755078318,0.5372262451124169
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,auprc,5,0.5273406982421875,0.010443783768316055,0.5181863181464682,0.5364950783379069
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,f1,5,0.6611267805099488,0.007723126568818004,0.6543571615953178,0.6678963994245798
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,brier,5,0.2513555645942688,0.0028125356621845126,0.24889026838979228,0.2538208607987453
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,ece,5,0.040393431391566995,0.021690121201847747,0.021381201896130925,0.05940566088700307
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,sms_raw_logit,5,0.0406005859375,0.0011172518278155224,0.039621271531787294,0.04157990034321271
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,sms_fixed_reference,5,2.143647384643555,0.08887866916197876,2.0657417962131626,2.221552973073947
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,ranking_disagreement,5,0.48283818960189817,0.027505825770239946,0.45872827029168556,0.5069481089121108
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,support_swap_flip_rate,5,0.07400000020861626,0.0958938213560094,-0.010054640235692913,0.15805464065292543
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,d0_auroc,5,0.5343699932098389,0.02797394594321027,0.5098497484764932,0.5588902379431846
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,d1_auroc,5,0.5154199957847595,0.019557267832725666,0.4982772946961268,0.5325626968733922
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,worst_nuisance_auroc,5,0.5083999991416931,0.011823761803414186,0.49803601496595085,0.5187639833174353
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,dn4_hard_knn,dn4_hard_knn,,,3,border_max_fraction,5,0.11449999809265136,0.015751982105321163,0.10069277700765089,0.12830721917765184
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,auroc,5,0.524430000782013,0.0033499212116370365,0.5214936653750053,0.5273663361890206
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,auprc,5,0.5144185185432434,0.006281978753237476,0.5089121213852676,0.5199249157012191
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,f1,5,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,brier,5,0.24999452829360963,8.842200140009337e-06,0.24998677776346082,0.2500022788237585
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,ece,5,0.00673828125,0.00021836601342771383,0.006546875000000001,0.0069296875
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,sms_raw_logit,5,0.0836181640625,0.0026983476218500483,0.08125295808842241,0.08598337003657759
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,sms_fixed_reference,5,4.544684600830078,0.1448507159879078,4.417717350194995,4.671651851465161
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,ranking_disagreement,5,0.4791796624660492,0.01370123665062501,0.46716999902761847,0.49118932590447995
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,support_swap_flip_rate,5,0.0,0.0,0.0,0.0
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,d0_auroc,5,0.5222100019454956,0.029659725817313347,0.4962121060018605,0.5482078978891307
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,d1_auroc,5,0.5255200028419494,0.029710033680982118,0.4994780101115516,0.5515619955723473
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,worst_nuisance_auroc,5,0.49912999868392943,0.01180765884935608,0.48878012936975285,0.509479867998106
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,border_max_fraction,5,0.26850000619888303,0.02859195400809642,0.24343805351239578,0.2935619588853703
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,auroc,5,0.5193725049495697,0.027580958375662826,0.49519672900704054,0.5435482808920987
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,auprc,5,0.5252229869365692,0.03218310674789935,0.4970132500857186,0.5534327237874198
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,f1,5,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,brier,5,0.2499850273132324,0.00010413889450310442,0.24989374554752586,0.25007630907893896
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,ece,5,0.00673828125,0.00021836601342771383,0.006546875000000001,0.0069296875
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,sms_raw_logit,5,0.08779296875,0.0062672733982907375,0.08229946140395555,0.09328647609604446
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,sms_fixed_reference,5,4.628357219696045,0.22520379478156313,4.430957390078429,4.82575704931366
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,ranking_disagreement,5,0.48463953137397764,0.00887794635383938,0.4768576682872474,0.4924213944607079
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,support_swap_flip_rate,5,0.0,0.0,0.0,0.0
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,d0_auroc,5,0.5260700047016144,0.03787453684815846,0.4928715094101636,0.5592684999930652
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,d1_auroc,5,0.5138400077819825,0.023872647467837134,0.49291470966592144,0.5347653058980435
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,worst_nuisance_auroc,5,0.5061800122261048,0.02031809372308559,0.48837041784079654,0.523989606611413
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,raw_witness,raw_witness|r=0.1,0.1,,3,border_max_fraction,5,0.22850000262260436,0.029874738495073414,0.2023136397572789,0.25468636548792983
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,auroc,5,0.5199300050735474,0.01632594798815425,0.5056196807100809,0.5342403294370138
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,auprc,5,0.5139658212661743,0.016323626153966136,0.4996575320801061,0.5282741104522425
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,f1,5,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,brier,5,0.2500153213739395,3.773971177446783e-05,0.24998224105803576,0.25004840168984327
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,ece,5,0.007421875,0.00021836601342771383,0.00723046875,0.007613281249999999
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,sms_raw_logit,5,0.08350830078125,0.004949382932810514,0.0791699753609489,0.0878466262015511
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,sms_fixed_reference,5,4.536591815948486,0.21400071944245208,4.34901191483287,4.724171717064102
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,ranking_disagreement,5,0.48298964500427244,0.016917882850905293,0.4681604668569916,0.4978188231515533
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,support_swap_flip_rate,5,0.0,0.0,0.0,0.0
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,d0_auroc,5,0.5118400096893311,0.03303384469085843,0.4828845681528545,0.5407954512258076
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,d1_auroc,5,0.5286699950695037,0.024911625543673748,0.5068339925163993,0.5505059976226082
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,worst_nuisance_auroc,5,0.5010800063610077,0.02355522337034137,0.4804329427339479,0.5217270699880675
validate,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,border_max_fraction,5,0.281999996304512,0.03174113569364409,0.254177664163651,0.309822328445373
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,auroc,5,0.5163450002670288,0.029458450174782595,0.49052353020280787,0.5421664703312498
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,auprc,5,0.522848105430603,0.027840056721496195,0.49844521977453055,0.5472509910866754
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,f1,5,0.6666666865348816,0.0,0.6666666865348816,0.6666666865348816
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,brier,5,0.24999694228172303,9.102827602006874e-05,0.24991715247980528,0.2500767320836408
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,ece,5,0.007421875,0.00021836601342771383,0.00723046875,0.007613281249999999
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,sms_raw_logit,5,0.0874755859375,0.004356944086613045,0.08365655606198166,0.09129461581301834
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,sms_fixed_reference,5,4.6135588645935055,0.13051344983099306,4.499158781839863,4.727958947347148
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,ranking_disagreement,5,0.48573982119560244,0.011150371359425024,0.47596608976865834,0.49551355262254654
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,support_swap_flip_rate,5,0.0,0.0,0.0,0.0
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,d0_auroc,5,0.5186299920082093,0.03123399637334707,0.49125218708109314,0.5460077969353253
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,d1_auroc,5,0.5148899972438812,0.03661260213005455,0.4827976365030666,0.5469823579846957
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,worst_nuisance_auroc,5,0.5027799963951111,0.028680407003620085,0.4776405112395885,0.5279194815506336
test,Pneumothorax__Support Devices,Pneumothorax,Support Devices,relational_witness,relational_witness|r=0.1,0.1,,3,border_max_fraction,5,0.22999999821186065,0.04589389964458164,0.18977222150358816,0.27022777492013317
