pair,target,confounder,method,shot,metric,mean,std
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,f1,0.6666666865348816,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,brier,0.25016080141067504,8.746426071610321e-05
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,ece,0.02250610589981079,4.373580724142853e-05
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,false_positive_c0d1,0.5223976731300354,0.00015753367002475227
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,sms_raw_logit,0.021254198998212813,0.0019890445598857174
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,sms_normalized_logit,0.4413894295692444,0.04031363130826757
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,support_swap_flip_rate,0.0,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,support_swap_error_gap,0.0,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,worst_support_panel_error,0.5,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,d0_auroc,0.7074399948120117,0.038129894242778996
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,d0_auprc,0.6717601656913758,0.0470356371941899
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,d1_auroc,0.6371999979019165,0.07019472859763584
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,d1_auprc,0.6121926665306091,0.06875747500956543
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,worst_nuisance_auroc,0.6312800049781799,0.05823790602892235
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,worst_nuisance_auprc,0.6049129366874695,0.05490095572543082
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,auroc,0.49092000126838686,0.04015229419363274
Pneumothorax__Support Devices,Pneumothorax,Support Devices,iera,1,auprc,0.5156696438789368,0.03359871428098536
