pair,target,confounder,method,shot,seed,temperature,threshold,metric,value
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,brier,0.2501680552959442
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,ece,0.02245992422103882
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,false_positive_c0d1,0.5225093960762024
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,sms_raw_logit,0.028692180290818214
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,sms_normalized_logit,0.5578113794326782
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,support_swap_flip_rate,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,support_swap_error_gap,0.0
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,worst_support_panel_error,0.5
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,d0_auroc,0.7164000272750854
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,d0_auprc,0.6629911661148071
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,d1_auroc,0.574400007724762
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,d1_auprc,0.5159344673156738
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,worst_nuisance_auroc,0.574400007724762
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,5,0,10.0,0.1,worst_nuisance_auprc,0.5159344673156738
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,auroc,0.6499000191688538
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,auprc,0.5758731961250305
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,f1,0.6666666865348816
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,brier,0.2501622140407562
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,ece,0.022508323192596436
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,false_positive_c0d1,0.52254718542099
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,sms_raw_logit,0.01912984624505043
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,sms_normalized_logit,0.3925294876098633
Edema__Cardiomegaly,Edema,Cardiomegaly,positive_prototype,10,0,10.0,0.1,support_swap_flip_rate,0.0
